,feature_name,min,max,median,count,mean,stdev
47,total_seq_read,24024.0,92963.0,36450.0,1709700.0,39760.46511627907,10969.28268338636
48,top_taxa,19882.0,83624.0,31976.0,1479019.0,34395.79069767442,10494.835109660324
0,d5__lactobacillus,3916.0,27204.0,15916.0,638083.0,14839.139534883721,5489.046883963751
1,d5__corynebacterium1,975.0,24430.0,6260.0,301354.0,7008.232558139535,3579.5053318607434
49,Other,2800.0,12355.0,4744.0,230681.0,5364.674418604651,2203.9505084855737
2,d5__gardnerella,645.0,21206.0,1980.0,133703.0,3109.3720930232557,4359.410609044562
3,d5__sneathia,678.0,23609.0,1186.0,100775.0,2343.6046511627906,3863.110060557148
4,d5__finegoldia,148.0,15562.0,585.0,71918.0,1672.5116279069769,2915.559599737841
5,d5__anaerococcus,205.0,10192.0,721.0,68404.0,1590.7906976744187,2110.1632701234457
6,d5__peptoniphilus,157.0,4617.0,1048.0,50180.0,1166.9767441860465,775.6905828993099
7,d5__staphylococcus,253.0,7337.0,870.0,45257.0,1052.4883720930231,1118.130505461024
8,d5__streptococcus,319.0,6006.0,517.0,35204.0,818.6976744186046,980.2751687271459
9,d5__veillonella,96.0,5001.0,402.0,34141.0,793.9767441860465,997.1351221510765
10,d5__prevotella,60.0,5699.0,343.0,32813.0,763.0930232558139,1162.247244697663
11,d5__ezakiella,98.0,2937.0,247.0,17128.0,398.3255813953488,474.79352509577075
12,d5__shuttleworthia,9.0,3511.0,83.0,15796.0,367.3488372093023,665.2205464470278
13,d4__prevotellaceaeother,31.0,2593.0,124.0,15565.0,361.9767441860465,629.291002726844
14,d5__corynebacterium,35.0,597.0,298.0,12931.0,300.72093023255815,135.06582620573525
15,d5__aerococcus,2.0,2757.0,16.0,8712.0,202.6046511627907,525.6314180078083
16,d5__porphyromonas,16.0,1480.0,104.0,8627.0,200.62790697674419,274.0869711863122
17,d5__atopobium,29.0,1088.0,132.0,8536.0,198.51162790697674,205.86245663561078
18,d5__parvimonas,3.0,451.0,178.0,8040.0,186.97674418604652,123.74002862608923
19,d5__megasphaera,25.0,1641.0,49.0,6447.0,149.93023255813952,321.03718782875023
20,d5__mobiluncus,10.0,518.0,148.0,6232.0,144.93023255813952,105.05223085250255
21,d5__gemella,17.0,622.0,122.0,6052.0,140.74418604651163,121.19682791371032
22,d4__pseudomonadaceaeother,4.0,687.0,121.0,5722.0,133.06976744186048,118.04486543135427
23,d5__peptostreptococcus,0.0,3345.0,4.0,5291.0,123.04651162790698,546.5412001848043
24,d5__dialister,6.0,263.0,121.0,5155.0,119.88372093023256,51.55589167861816
25,d5__mycoplasma,7.0,353.0,95.0,4945.0,115.0,77.94503557910902
26,d5__fusobacterium,0.0,1584.0,75.0,4945.0,115.0,238.39982422492722
27,d4__sphingobacteriaceaeother,4.0,291.0,123.0,4858.0,112.97674418604652,73.57001471617198
28,d5__ureaplasma,7.0,1178.0,60.0,4835.0,112.44186046511628,192.82687798293767
29,d5__campylobacter,1.0,3255.0,25.0,4298.0,99.95348837209302,492.8832061736509
30,d4__bifidobacteriaceaeother,19.0,1060.0,57.0,4216.0,98.04651162790698,158.17515208635498
31,d4__streptococcaceaeother,0.0,672.0,21.0,4037.0,93.88372093023256,159.63160107577542
32,d5__escherichiashigella,4.0,287.0,63.0,3702.0,86.09302325581395,67.2630989025605
33,d4__familyxiother,0.0,525.0,28.0,3520.0,81.86046511627907,136.37004652875464
34,d5__granulicatella,11.0,1266.0,43.0,3490.0,81.16279069767442,189.49254668500666
35,d5__bifidobacterium,1.0,2468.0,9.0,3404.0,79.16279069767442,376.83291296911483
36,d5__fastidiosipila,8.0,198.0,67.0,3218.0,74.83720930232558,36.814160210801745
37,d4__leptotrichiaceaeother,0.0,561.0,5.0,3027.0,70.3953488372093,151.54272374716228
38,d4__corynebacteriaceaeother,3.0,407.0,39.0,3023.0,70.30232558139535,87.1420665142138
39,d5__prevotella6,3.0,448.0,46.0,2911.0,67.69767441860465,79.95758842563885
40,d5__brevibacterium,0.0,710.0,35.0,2568.0,59.72093023255814,110.12467514278778
41,d5__facklamia,1.0,604.0,42.0,2411.0,56.06976744186046,90.34547327022436
42,d5__acinetobacter,2.0,264.0,46.0,2012.0,46.7906976744186,43.54666798227855
43,d5__ralstonia,9.0,215.0,34.0,1957.0,45.51162790697674,41.409897651132844
45,d5__neisseria,0.0,26.0,4.0,226.0,5.255813953488372,5.052547793208672
44,d5__chlamydia,0.0,6.0,0.0,31.0,0.7209302325581395,1.54804917781102
46,d5__treponema2,0.0,5.0,0.0,27.0,0.6428571428571429,1.1003642095816377
