,count,feature_name,max,mean,median,min,stdev
47,1709700.0,total_seq_read,92963.0,39760.46511627907,36450.0,24024.0,10969.28268338636
48,1479019.0,top_taxa,83624.0,34395.79069767442,31976.0,19882.0,10494.835109660324
0,638083.0,d5__lactobacillus,27204.0,14839.139534883721,15916.0,3916.0,5489.046883963751
1,301354.0,d5__corynebacterium1,24430.0,7008.232558139535,6260.0,975.0,3579.5053318607434
49,230681.0,Other,12355.0,5364.674418604651,4744.0,2800.0,2203.9505084855737
2,133703.0,d5__gardnerella,21206.0,3109.3720930232557,1980.0,645.0,4359.410609044562
3,100775.0,d5__sneathia,23609.0,2343.6046511627906,1186.0,678.0,3863.110060557148
4,71918.0,d5__finegoldia,15562.0,1672.5116279069769,585.0,148.0,2915.559599737841
5,68404.0,d5__anaerococcus,10192.0,1590.7906976744187,721.0,205.0,2110.1632701234457
6,50180.0,d5__peptoniphilus,4617.0,1166.9767441860465,1048.0,157.0,775.6905828993099
7,45257.0,d5__staphylococcus,7337.0,1052.4883720930231,870.0,253.0,1118.130505461024
8,35204.0,d5__streptococcus,6006.0,818.6976744186046,517.0,319.0,980.2751687271459
9,34141.0,d5__veillonella,5001.0,793.9767441860465,402.0,96.0,997.1351221510765
10,32813.0,d5__prevotella,5699.0,763.0930232558139,343.0,60.0,1162.247244697663
11,17128.0,d5__ezakiella,2937.0,398.3255813953488,247.0,98.0,474.79352509577075
12,15796.0,d5__shuttleworthia,3511.0,367.3488372093023,83.0,9.0,665.2205464470278
13,15565.0,d4__prevotellaceaeother,2593.0,361.9767441860465,124.0,31.0,629.291002726844
14,12931.0,d5__corynebacterium,597.0,300.72093023255815,298.0,35.0,135.06582620573525
15,8712.0,d5__aerococcus,2757.0,202.6046511627907,16.0,2.0,525.6314180078083
16,8627.0,d5__porphyromonas,1480.0,200.62790697674419,104.0,16.0,274.0869711863122
17,8536.0,d5__atopobium,1088.0,198.51162790697674,132.0,29.0,205.86245663561078
18,8040.0,d5__parvimonas,451.0,186.97674418604652,178.0,3.0,123.74002862608923
19,6447.0,d5__megasphaera,1641.0,149.93023255813952,49.0,25.0,321.03718782875023
20,6232.0,d5__mobiluncus,518.0,144.93023255813952,148.0,10.0,105.05223085250255
21,6052.0,d5__gemella,622.0,140.74418604651163,122.0,17.0,121.19682791371032
22,5722.0,d4__pseudomonadaceaeother,687.0,133.06976744186048,121.0,4.0,118.04486543135427
23,5291.0,d5__peptostreptococcus,3345.0,123.04651162790698,4.0,0.0,546.5412001848043
24,5155.0,d5__dialister,263.0,119.88372093023256,121.0,6.0,51.55589167861816
25,4945.0,d5__mycoplasma,353.0,115.0,95.0,7.0,77.94503557910902
26,4945.0,d5__fusobacterium,1584.0,115.0,75.0,0.0,238.39982422492722
27,4858.0,d4__sphingobacteriaceaeother,291.0,112.97674418604652,123.0,4.0,73.57001471617198
28,4835.0,d5__ureaplasma,1178.0,112.44186046511628,60.0,7.0,192.82687798293767
29,4298.0,d5__campylobacter,3255.0,99.95348837209302,25.0,1.0,492.8832061736509
30,4216.0,d4__bifidobacteriaceaeother,1060.0,98.04651162790698,57.0,19.0,158.17515208635498
31,4037.0,d4__streptococcaceaeother,672.0,93.88372093023256,21.0,0.0,159.63160107577542
32,3702.0,d5__escherichiashigella,287.0,86.09302325581395,63.0,4.0,67.2630989025605
33,3520.0,d4__familyxiother,525.0,81.86046511627907,28.0,0.0,136.37004652875464
34,3490.0,d5__granulicatella,1266.0,81.16279069767442,43.0,11.0,189.49254668500666
35,3404.0,d5__bifidobacterium,2468.0,79.16279069767442,9.0,1.0,376.83291296911483
36,3218.0,d5__fastidiosipila,198.0,74.83720930232558,67.0,8.0,36.814160210801745
37,3027.0,d4__leptotrichiaceaeother,561.0,70.3953488372093,5.0,0.0,151.54272374716228
38,3023.0,d4__corynebacteriaceaeother,407.0,70.30232558139535,39.0,3.0,87.1420665142138
39,2911.0,d5__prevotella6,448.0,67.69767441860465,46.0,3.0,79.95758842563885
40,2568.0,d5__brevibacterium,710.0,59.72093023255814,35.0,0.0,110.12467514278778
41,2411.0,d5__facklamia,604.0,56.06976744186046,42.0,1.0,90.34547327022436
42,2012.0,d5__acinetobacter,264.0,46.7906976744186,46.0,2.0,43.54666798227855
43,1957.0,d5__ralstonia,215.0,45.51162790697674,34.0,9.0,41.409897651132844
45,226.0,d5__neisseria,26.0,5.255813953488372,4.0,0.0,5.052547793208672
44,31.0,d5__chlamydia,6.0,0.7209302325581395,0.0,0.0,1.54804917781102
46,27.0,d5__treponema2,5.0,0.6428571428571429,0.0,0.0,1.1003642095816377
